lvl,hp,attack,defense,sp_attack,sp_defense,name
14,5628,564,233,106,162,Absol
14,9081,313,178,523,133,Blissey
14,7009,417,307,99,236,Charizard
14,5031,375,219,104,131,Cinderace
14,5928,267,270,654,180,Cramorant
14,8998,321,514,103,354,Crustle
14,7356,285,178,584,133,Eldegoss
14,7028,442,368,99,279,Garchomp
14,5841,267,152,855,121,Gardevoir
14,6625,334,228,574,166,Gengar
14,5031,432,219,104,131,Greninja
14,6753,406,351,104,270,Lucario
14,6974,431,430,99,281,Machamp
14,8637,275,377,369,324,Mr.Mime
14,5875,268,156,831,120,Ninetales
14,5927,271,158,842,122,Pikachu
14,8556,273,373,362,319,Slowbro
14,9081,324,520,104,359,Snorlax
14,5797,553,254,102,175,Talonflame
14,5857,269,152,822,120,Venusaur
14,8608,285,477,547,427,Wigglytuff
14,5908,588,270,106,180,Zeraora
